PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=375 ms
1440 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=185 ms
