PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=185 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=181 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=182 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=181 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=181 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=187 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=184 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=185 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=181 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=187 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=182 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=182 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=183 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=182 ms
