PING 10.0.0.4 (10.0.0.4) 1432(1460) bytes of data.
1440 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=376 ms
1440 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=185 ms
1440 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=182 ms
1440 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=187 ms
1440 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=192 ms
1440 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=188 ms
1440 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=193 ms
