PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=380 ms
1440 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=181 ms
1440 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=185 ms
1440 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=192 ms
