PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=2413 ms
1440 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=190 ms
1440 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=27 ttl=64 time=183 ms
