PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=371 ms
64 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=182 ms
64 bytes from 10.0.0.5: icmp_seq=4 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=182 ms
64 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=182 ms
64 bytes from 10.0.0.5: icmp_seq=15 ttl=64 time=182 ms
64 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=182 ms
64 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=182 ms
64 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=25 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=26 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=29 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=181 ms
64 bytes from 10.0.0.5: icmp_seq=31 ttl=64 time=181 ms
