PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=192 ms
1440 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=193 ms
