PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=381 ms
1440 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=196 ms
1440 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=188 ms
1440 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=187 ms
1440 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=188 ms
1440 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=26 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=29 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=31 ttl=64 time=183 ms
