PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=424 ms
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=191 ms
1440 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=383 ms
1440 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=202 ms
1440 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=194 ms
1440 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=196 ms
1440 bytes from 10.0.0.5: icmp_seq=26 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=28 ttl=64 time=408 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=193 ms
