PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=1398 ms
1440 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=378 ms
1440 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=191 ms
1440 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=190 ms
1440 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=15 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=27 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=28 ttl=64 time=196 ms
1440 bytes from 10.0.0.5: icmp_seq=29 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=187 ms
