PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=382 ms
1440 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=190 ms
1440 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=4 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=188 ms
1440 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=188 ms
