PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=198 ms
1440 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=197 ms
1440 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=200 ms
1440 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=194 ms
1440 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=196 ms
1440 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=191 ms
1440 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=193 ms
1440 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=192 ms
1440 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=194 ms
1440 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=187 ms
1440 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=189 ms
1440 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=186 ms
1440 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=194 ms
1440 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=193 ms
