PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=186 ms
1440 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=184 ms
1440 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=185 ms
1440 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=191 ms
1440 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=181 ms
1440 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=183 ms
