PING 10.0.0.4 (10.0.0.4) 1432(1460) bytes of data.
1440 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=2417 ms
1440 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=386 ms
1440 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=185 ms
1440 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=188 ms
1440 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=185 ms
1440 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=182 ms
