PING 10.0.0.4 (10.0.0.4) 1432(1460) bytes of data.
1440 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=185 ms
1440 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=191 ms
1440 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=188 ms
1440 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=369 ms
1440 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=192 ms
1440 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=187 ms
1440 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=189 ms
1440 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=189 ms
1440 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=193 ms
