PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=374 ms
1440 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=27 ttl=64 time=186 ms
1440 bytes from 10.0.0.5: icmp_seq=28 ttl=64 time=191 ms
1440 bytes from 10.0.0.5: icmp_seq=29 ttl=64 time=186 ms
