PING 10.0.0.4 (10.0.0.4) 1432(1460) bytes of data.
1440 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=386 ms
1440 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=185 ms
1440 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=192 ms
1440 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=184 ms
1440 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=183 ms
1440 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=183 ms
