PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=4 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=191 ms
1440 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=25 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=27 ttl=64 time=188 ms
1440 bytes from 10.0.0.5: icmp_seq=29 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=31 ttl=64 time=183 ms
