PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=1420 ms
1440 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=398 ms
1440 bytes from 10.0.0.5: icmp_seq=4 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=191 ms
1440 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=191 ms
1440 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=25 ttl=64 time=191 ms
1440 bytes from 10.0.0.5: icmp_seq=28 ttl=64 time=193 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=190 ms
